,Date/Time - Peak Brightness (UT),Latitude (Deg),Longitude (Deg),Calculated Total Impact Energy (kt),Total Radiated Energy (giga J)
0,2009-11-21 20:53:00,-22.0,29.2,18.0,10000.0
1,2015-01-09 10:41:11,2.0,28.8,0.41,139.0
2,2014-05-16 12:42:48,-44.2,-176.2,0.82,309.0
3,2014-08-23 06:29:41,-61.7,132.6,7.6,3820.0
4,2014-12-12 06:48:11,33.5,144.9,0.11,33.0
5,2014-07-29 07:38:07,-49.2,-172.2,0.23,73.0
6,2013-06-01 22:49:48,-65.6,138.4,0.12,34.0
7,2015-02-17 13:19:50,-8.0,-11.2,0.11,33.0
8,2014-10-17 14:07:36,-4.6,-66.3,0.23,72.0
9,2013-12-08 03:10:09,32.8,-165.1,0.2,64.0
10,2014-09-05 21:37:26,22.7,-150.0,0.12,35.0
11,2015-02-25 10:53:24,12.4,-122.4,0.19,58.0
12,2014-11-04 20:13:30,43.1,115.8,0.45,156.0
13,2013-07-26 11:32:26,21.0,-178.5,0.073,20.0
14,2010-12-25 23:24:00,38.0,158.0,33.0,20000.0
15,2015-01-07 01:05:59,45.7,26.9,0.4,136.0
16,2013-01-25 07:40:18,60.3,-64.6,6.9,3400.0
17,2014-08-28 03:07:45,3.2,-45.4,0.12,34.0
18,2014-01-15 02:46:19,-18.5,141.8,0.41,140.0
19,2013-12-23 08:30:57,39.5,2.0,0.43,147.0
20,2014-11-26 17:40:16,-68.2,-24.0,0.32,105.0
21,2014-03-18 11:02:37,0.0,-111.8,1.3,540.0
22,2014-03-03 15:00:21,-29.0,-94.9,0.29,94.0
23,2013-02-15 03:20:33,54.8,61.1,440.0,375000.0
24,2014-03-29 13:45:41,-28.7,121.5,0.13,39.0
25,2009-10-08 02:57:00,-4.2,120.6,33.0,20000.0
26,2014-06-28 02:40:07,18.9,141.2,0.67,245.0
27,2014-10-21 18:55:37,22.2,-132.9,0.12,34.0
28,2013-10-12 16:06:45,-19.1,-25.0,3.5,1610.0
29,2013-11-21 01:50:35,44.7,35.3,0.23,75.0
30,2014-07-29 03:07:43,-33.9,-115.9,0.17,53.0
31,2013-03-12 10:32:59,-32.7,17.1,0.1,29.0
32,2014-11-27 12:12:52,-18.8,-73.4,0.18,55.0
33,2014-02-18 12:50:44,-32.8,-61.5,0.092,26.0
34,2013-07-31 03:50:14,-31.8,137.1,0.22,69.0
35,2015-02-26 22:06:24,68.0,-149.0,0.53,188.0
36,2014-12-09 21:19:18,76.6,96.3,0.24,78.0
37,2013-08-12 18:08:02,-34.4,118.2,0.15,44.0
38,2015-01-09 17:31:47,-23.3,-49.2,0.079,22.0
39,2015-03-04 04:30:05,-15.9,88.1,0.18,55.0
40,2013-01-12 03:04:21,-15.1,-155.6,0.16,48.0
41,2014-02-13 06:47:42,13.3,-110.7,1.5,630.0
42,2013-07-30 02:36:58,-50.2,90.2,1.0,390.0
43,2013-09-24 15:31:16,-10.3,-164.7,0.46,160.0
44,2013-04-30 08:40:38,35.5,-30.7,10.0,5110.0
45,2013-07-27 08:30:36,0.3,156.2,0.36,120.0
46,2014-08-29 23:15:39,-6.2,-49.9,0.092,26.0
47,2014-05-16 20:06:28,-39.4,-95.9,0.4,136.0
48,2013-02-20 13:13:07,-23.0,-38.8,0.1,32.0
49,2014-01-08 17:05:34,-1.3,147.6,0.11,31.0
50,2014-05-08 19:42:37,-36.9,87.3,2.4,1050.0
51,2013-04-21 06:23:12,-28.1,-64.6,2.5,1070.0
52,2014-12-13 02:53:52,86.7,-162.1,0.15,44.0
53,2014-09-09 18:55:46,3.2,137.2,0.098,28.0
54,2014-11-26 23:16:51,-69.5,-179.7,0.35,118.0
55,2015-03-08 04:26:28,-39.1,-118.6,0.073,20.0
56,2015-01-02 13:39:19,-31.1,140.0,0.073,20.0
57,2015-03-11 06:18:59,8.0,119.1,0.23,72.0
58,2014-06-26 05:54:41,-71.5,93.4,0.2,61.0
59,2014-10-06 20:02:15,-43.7,85.7,0.13,39.0
60,2014-01-12 16:00:48,2.9,64.4,0.24,78.0
61,2014-11-28 11:47:18,-45.8,-172.7,1.7,700.0
62,2014-10-14 10:25:03,-2.0,119.2,0.1,29.0
63,2014-05-29 01:12:36,21.9,-131.1,0.19,58.0
64,2013-02-07 13:12:24,-18.8,-158.6,0.21,65.0
65,2013-05-14 23:20:21,-3.0,76.4,0.073,20.0
66,2012-10-03 22:50:12,-41.5,-21.9,0.75,280.0
67,2012-12-30 07:25:35,17.3,-83.6,0.55,198.0
68,2015-03-18 00:04:50,-5.4,159.3,0.36,121.0
69,2012-10-02 16:38:38,-8.1,-111.9,1.2,470.0
70,2012-09-28 05:44:12,-6.9,73.7,0.13,38.0
71,2012-05-25 11:31:24,-41.8,-36.2,0.19,60.0
72,2012-11-20 20:37:31,2.5,29.6,0.089,25.0
73,2012-11-20 06:25:11,-8.0,-86.0,0.36,120.0
74,2012-10-19 16:26:22,-75.4,49.6,0.082,23.0
75,2015-03-30 21:33:52,-36.1,-5.5,0.2,64.0
76,2012-10-09 00:54:55,51.2,-84.6,0.58,210.0
77,2012-09-10 01:03:32,-69.8,-111.7,0.082,23.0
78,2015-04-08 04:06:31,-25.5,51.5,0.49,173.0
79,2012-08-27 06:57:43,-18.3,64.2,0.22,68.0
80,2012-08-26 14:55:47,11.8,117.0,0.68,249.0
81,2012-09-18 19:34:39,1.2,-52.2,0.67,244.0
82,2015-04-03 01:39:38,8.4,-157.9,0.14,42.0
83,2012-09-11 22:07:30,-18.9,105.2,0.17,52.0
84,2012-04-21 16:08:23,-15.8,-174.8,0.42,143.0
85,2015-04-30 10:21:01,-48.7,139.1,0.32,105.0
86,2012-07-27 04:19:50,63.1,172.3,0.12,34.0
87,2012-05-04 21:54:49,76.7,-10.6,0.63,229.0
88,2012-04-23 22:01:10,36.2,107.4,0.15,44.0
89,2012-07-25 07:48:20,36.4,41.5,0.39,133.0
90,2015-04-21 01:42:51,37.7,-39.6,0.27,88.0
91,2012-05-15 11:04:17,-61.8,-135.5,0.39,132.0
