,year,transmission,price,mileage,desc,XLE,XE,J ,E ,G ,variant
0,2021,Automatic,598000,5000,2021 Toyota Vios 1.3xle very fresh must see Auto,1,0,0,1,0,XLE
1,2021,Automatic,579000,15000,2021 Toyota Vios 1.3 XLE AT Automatic Gas Auto,1,0,0,1,0,XLE
2,2021,Automatic,680000,15000,Toyota Vios 1.3 XLE Auto,1,0,0,1,0,XLE
3,2021,Automatic,628000,5000,2021 Toyota Vios 1.3 XLE CVT Automatic Blackish Red Auto,1,0,0,1,0,XLE
4,2020,Automatic,698000,15000,2020 Toyota Vios 1.5 G CVT AT 2020 Toyota Vios 1.5 G CVT AT,0,0,0,0,1,G 
5,2020,Manual,548000,15000,2020 Toyota Vios 1.3 XLE Manual Alumina Jade Green Manual,1,0,0,1,0,XLE
6,2016,Manual,350000,5000,Toyota Vios 1.5 g a/t Manual,0,0,0,0,1,G 
7,2016,Manual,320000,195000,Toyota Vios 1.5 J (M),0,0,1,0,0,J 
8,2022,Automatic,658000,5000,2022 Toyota Vios 1.3 XLE CVT Automatic Red Mica Metallic Auto,1,0,0,1,0,XLE
9,2022,Manual,658000,5000,2022 Toyota Vios 1.3 XLE Manual Blackish Red Sedan Manual,1,0,0,1,0,XLE
10,2022,Automatic,655000,15000,Toyota Vios XLE Auto,1,0,0,1,0,XLE
11,2020,Automatic,688000,15000,2020 Toyota Vios G Push Start Auto,0,0,0,0,1,G 
12,2017,Automatic,530000,25000,Toyota Vios 2017 1.5 G Auto,0,0,0,0,1,G 
13,2022,Automatic,700000,15000,Toyota Vios XLE 1.3 CVT Auto,1,0,0,1,0,XLE
14,2019,Automatic,638000,25000,2019 TOYOTA VIOS G 1.5L A/T Auto,0,0,0,0,1,G 
15,2016,Manual,349999,85000,Toyota Vios J 1.3 Manual,0,0,1,0,0,J 
16,2017,Automatic,447000,25000,toyota vios e Auto,0,0,0,1,0,E 
18,2018,Automatic,498000,55000,2018 Toyota Vios 1.3L E AT Auto,0,0,0,1,0,E 
19,2018,Automatic,528000,25000,2018 Toyota Vios E Auto,0,0,0,1,0,E 
20,2019,Automatic,638000,5000,2019 Toyota Vios 1.5 G PRIME Pearl White SE Auto,0,0,0,1,1,E 
